ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,3/17/1965,1965-Mar-17 09:33,-1.51252E+11,11.14862052,40135.03386,24938.34923,1.922623332,747.9004761,287620355.3,178719001.5,Juptr
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/22/1976,1976-May-22 19:40,2.01642E+11,28.22812354,101621.2448,63143.48956,0.129802677,50.49324116,19418203.92,12065912.42,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/27/1989,1989-May-27 05:12,6.12249E+11,28.87073246,103934.6369,64580.94144,0.184957795,71.94858233,27669292.2,17192900.93,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/29/2002,2002-May-29 13:32,1.02268E+12,29.21049155,105157.7696,65340.94855,0.237797072,92.50306109,35573935.49,22104618.51,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,6/3/2015,2015-Jun-03 08:52,1.43332E+12,30.32913776,109184.8959,67843.24826,0.352185557,137.0001816,52686209.14,32737692.29,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,6/7/2028,2028-Jun-07 13:47,1.844E+12,31.86368034,114709.2492,71275.86656,0.477847009,185.8824865,71484894.73,44418653.87,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,8/19/2059,2059-Aug-19 22:11,2.82856E+12,12.0654752,43435.71072,26989.26148,1.974534903,768.0940771,295386215.7,183544483.3,Juptr
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/8/2090,2090-May-08 15:44,3.79794E+12,28.71777186,103383.9787,64238.78387,0.485777058,188.9672757,72671213.23,45155798,Earth
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/29/2095,2095-May-29 16:59,3.95753E+12,11.58155716,41693.60578,25906.78521,1.865190867,725.5592471,279028580.8,173380320.4,Juptr
2001580,2001580,1580 Betulia (1950 KA),Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.69,3.065878759,6.855513317,3065.878759,6855.513317,1.905048151,4.259817165,10058.65767,22491.84231,FALSE,5/13/2103,2103-May-13 09:00,4.20849E+12,28.23276192,101637.9429,63153.86514,0.380083038,147.8523018,56859612.91,35330925.14,Earth
